"";"region";"state";"date";"epi_week";"newCases";"accumCases";"newDeaths";"accumDeaths";"newRecovered";"newFollowup";"pop";"state_code"
"1";"Northeast";"PE";2020-02-25;9;0;0;0;0;NA;NA;9557071;"26"
"2";"Northeast";"PE";2020-02-26;9;0;0;0;0;NA;NA;9557071;"26"
"3";"Northeast";"PE";2020-02-27;9;0;0;0;0;NA;NA;9557071;"26"
"4";"Northeast";"PE";2020-02-28;9;0;0;0;0;NA;NA;9557071;"26"
"5";"Northeast";"PE";2020-02-29;9;0;0;0;0;NA;NA;9557071;"26"
"6";"Northeast";"PE";2020-03-01;10;0;0;0;0;NA;NA;9557071;"26"
"7";"Northeast";"PE";2020-03-02;10;0;0;0;0;NA;NA;9557071;"26"
"8";"Northeast";"PE";2020-03-03;10;0;0;0;0;NA;NA;9557071;"26"
"9";"Northeast";"PE";2020-03-04;10;0;0;0;0;NA;NA;9557071;"26"
"10";"Northeast";"PE";2020-03-05;10;0;0;0;0;NA;NA;9557071;"26"
"11";"Northeast";"PE";2020-03-06;10;0;0;0;0;NA;NA;9557071;"26"
"12";"Northeast";"PE";2020-03-07;10;0;0;0;0;NA;NA;9557071;"26"
"13";"Northeast";"PE";2020-03-08;11;0;0;0;0;NA;NA;9557071;"26"
"14";"Northeast";"PE";2020-03-09;11;0;0;0;0;NA;NA;9557071;"26"
"15";"Northeast";"PE";2020-03-10;11;0;0;0;0;NA;NA;9557071;"26"
"16";"Northeast";"PE";2020-03-11;11;0;0;0;0;NA;NA;9557071;"26"
"17";"Northeast";"PE";2020-03-12;11;2;2;0;0;NA;NA;9557071;"26"
"18";"Northeast";"PE";2020-03-13;11;0;2;0;0;NA;NA;9557071;"26"
"19";"Northeast";"PE";2020-03-14;11;0;2;0;0;NA;NA;9557071;"26"
"20";"Northeast";"PE";2020-03-15;12;0;2;0;0;NA;NA;9557071;"26"
"21";"Northeast";"PE";2020-03-16;12;0;2;0;0;NA;NA;9557071;"26"
"22";"Northeast";"PE";2020-03-17;12;14;16;0;0;NA;NA;9557071;"26"
"23";"Northeast";"PE";2020-03-18;12;0;16;0;0;NA;NA;9557071;"26"
"24";"Northeast";"PE";2020-03-19;12;12;28;0;0;NA;NA;9557071;"26"
"25";"Northeast";"PE";2020-03-20;12;2;30;0;0;NA;NA;9557071;"26"
"26";"Northeast";"PE";2020-03-21;12;0;30;0;0;NA;NA;9557071;"26"
"27";"Northeast";"PE";2020-03-22;13;7;37;0;0;NA;NA;9557071;"26"
"28";"Northeast";"PE";2020-03-23;13;5;42;0;0;NA;NA;9557071;"26"
"29";"Northeast";"PE";2020-03-24;13;0;42;0;0;NA;NA;9557071;"26"
"30";"Northeast";"PE";2020-03-25;13;4;46;1;1;NA;NA;9557071;"26"
"31";"Northeast";"PE";2020-03-26;13;2;48;2;3;NA;NA;9557071;"26"
"32";"Northeast";"PE";2020-03-27;13;8;56;1;4;NA;NA;9557071;"26"
"33";"Northeast";"PE";2020-03-28;13;12;68;1;5;NA;NA;9557071;"26"
"34";"Northeast";"PE";2020-03-29;14;5;73;0;5;NA;NA;9557071;"26"
"35";"Northeast";"PE";2020-03-30;14;5;78;1;6;NA;NA;9557071;"26"
"36";"Northeast";"PE";2020-03-31;14;9;87;0;6;NA;NA;9557071;"26"
"37";"Northeast";"PE";2020-04-01;14;8;95;2;8;NA;NA;9557071;"26"
"38";"Northeast";"PE";2020-04-02;14;11;106;1;9;NA;NA;9557071;"26"
"39";"Northeast";"PE";2020-04-03;14;30;136;1;10;NA;NA;9557071;"26"
"40";"Northeast";"PE";2020-04-04;14;40;176;4;14;NA;NA;9557071;"26"
"41";"Northeast";"PE";2020-04-05;15;25;201;7;21;NA;NA;9557071;"26"
"42";"Northeast";"PE";2020-04-06;15;22;223;9;30;NA;NA;9557071;"26"
